heading_ID,name_he,label
heading0,294.6,heading
heading1,347.5,heading
heading2,290.1,heading
heading3,163.0,heading
heading4,34.600002,heading
heading5,207.2,heading
heading6,75.4,heading
heading7,344.0,heading
heading8,99.9,heading
heading9,17.2,heading
heading10,131.7,heading
heading11,293.7,heading
heading12,347.4,heading
heading13,100.0,heading
heading14,33.0,heading
heading15,359.30002,heading
heading16,338.0,heading
heading17,179.5,heading
heading18,70.7,heading
heading19,299.2,heading
heading20,263.0,heading
heading21,13.2,heading
heading22,204.5,heading
heading23,212.7,heading
heading24,51.3,heading
heading25,148.4,heading
heading26,38.1,heading
heading27,187.6,heading
heading28,117.4,heading
heading29,66.0,heading
heading30,90.3,heading
heading31,33.3,heading
heading32,290.0,heading
heading33,183.6,heading
heading34,159.0,heading
heading35,57.5,heading
heading36,63.3,heading
heading37,328.0,heading
heading38,224.4,heading
heading39,138.0,heading
heading40,142.0,heading
heading41,349.4,heading
heading42,53.9,heading
heading43,151.8,heading
heading44,76.8,heading
heading45,207.1,heading
heading46,58.6,heading
heading47,183.1,heading
heading48,252.7,heading
heading49,27.6,heading
heading50,158.1,heading
heading51,246.6,heading
heading52,279.3,heading
heading53,230.4,heading
heading54,39.0,heading
heading55,263.8,heading
heading56,51.600002,heading
heading57,104.1,heading
heading58,49.3,heading
heading59,150.0,heading
heading60,131.0,heading
heading61,252.0,heading
heading62,300.8,heading
heading63,288.0,heading
heading64,94.9,heading
heading65,71.0,heading
heading66,245.8,heading
heading67,91.0,heading
heading68,57.9,heading
heading69,1.4,heading
heading70,128.1,heading
heading71,145.4,heading
heading72,149.7,heading
heading73,188.6,heading
heading74,149.0,heading
heading75,102.5,heading
heading76,113.1,heading
heading77,4.7,heading
heading78,31.300001,heading
heading79,129.40001,heading
heading80,314.7,heading
heading81,158.3,heading
heading82,333.0,heading
heading83,299.4,heading
heading84,105.4,heading
heading85,291.3,heading
heading86,29.0,heading
heading87,184.7,heading
heading88,113.8,heading
heading89,186.6,heading
heading90,30.3,heading
heading91,76.4,heading
heading92,274.0,heading
heading93,47.4,heading
heading94,73.0,heading
heading95,249.0,heading
heading96,281.0,heading
heading97,357.0,heading
heading98,286.1,heading
heading99,208.7,heading
heading100,241.9,heading
heading101,76.0,heading
heading102,322.0,heading
heading103,17.4,heading
heading104,252.9,heading
heading105,210.3,heading
heading106,62.9,heading
heading107,135.6,heading
heading108,131.90001,heading
heading109,28.5,heading
heading110,106.0,heading
heading111,187.6,heading
heading112,10.0,heading
heading113,314.0,heading
heading114,106.3,heading
heading115,53.0,heading
heading116,285.8,heading
heading117,264.2,heading
heading118,107.0,heading
heading119,276.4,heading
heading120,179.0,heading
heading121,33.1,heading
heading122,197.1,heading
heading123,268.7,heading
heading124,19.1,heading
heading125,220.1,heading
heading126,41.9,heading
heading127,21.6,heading
heading128,195.7,heading
heading129,279.9,heading
heading130,334.6,heading
heading131,91.6,heading
heading132,329.2,heading
heading133,52.8,heading
heading134,203.0,heading
heading135,311.6,heading
heading136,258.7,heading
heading137,102.0,heading
heading138,2.5,heading
heading139,47.8,heading
heading140,7.8,heading
heading141,305.6,heading
heading142,190.4,heading
heading143,58.1,heading
heading144,352.8,heading
heading145,94.200005,heading
heading146,12.7,heading
heading147,185.8,heading
heading148,204.8,heading
heading149,66.6,heading
heading150,162.0,heading
heading151,143.3,heading
heading152,94.3,heading
heading153,231.0,heading
heading154,333.3,heading
heading155,123.3,heading
heading156,20.0,heading
heading157,80.4,heading
heading158,355.2,heading
heading159,148.7,heading
heading160,233.0,heading
heading161,314.0,heading
heading162,244.8,heading
heading163,73.2,heading
heading164,267.5,heading
heading165,342.5,heading
heading166,130.1,heading
heading167,173.9,heading
heading168,216.6,heading
heading169,177.5,heading
heading170,78.2,heading
heading171,57.5,heading
heading172,279.2,heading
heading173,185.8,heading
heading174,205.7,heading
heading175,149.9,heading
heading176,305.0,heading
heading177,195.9,heading
heading178,2.8,heading
heading179,1.0,heading
heading180,299.9,heading
heading181,179.0,heading
heading182,53.7,heading
heading183,145.5,heading
heading184,313.30002,heading
heading185,163.2,heading
heading186,25.1,heading
heading187,42.600002,heading
heading188,165.0,heading
heading189,241.5,heading
heading190,149.0,heading
heading191,23.0,heading
heading192,218.7,heading
heading193,159.6,heading
heading194,119.5,heading
heading195,0.0,heading
heading196,122.9,heading
heading197,348.8,heading
heading198,321.80002,heading
heading199,356.3,heading
heading200,33.9,heading
heading201,108.6,heading
heading202,164.0,heading
heading203,6.1,heading
heading204,77.4,heading
heading205,34.5,heading
heading206,33.8,heading
heading207,141.5,heading
heading208,240.7,heading
heading209,93.1,heading
heading210,240.0,heading
heading211,129.8,heading
heading212,279.30002,heading
heading213,330.4,heading
heading214,185.0,heading
heading215,279.0,heading
heading216,103.0,heading
heading217,165.0,heading
heading218,310.2,heading
heading219,31.6,heading
heading220,83.4,heading
heading221,86.0,heading
heading222,255.0,heading
heading223,344.6,heading
heading224,145.6,heading
heading225,160.40001,heading
heading226,157.0,heading
heading227,328.4,heading
heading228,360.0,heading
