entity207,spatial location,entity15
entity486,adjacent,entity310
entity791,adjacent,entity594
event2,escape,entity3574
event2,escape,entity3573
event2,escape,entity3569
event2,escape,entity3557
event2,escape,entity3552
event2,escape,entity3545
event2,escape,entity3533
event2,escape,entity3515
event2,escape,entity3509
event2,escape,entity3503
event2,escape,entity3495
event2,escape,entity3490
event2,escape,entity3472
event2,escape,entity3460
event2,escape,entity3458
event2,escape,entity3456
event2,escape,entity3445
event2,escape,entity3404
event2,escape,entity3398
event2,escape,entity3397
event2,escape,entity3396
event2,escape,entity3386
event2,escape,entity3355
event2,escape,entity3344
event2,escape,entity3339
event2,escape,entity3338
event2,escape,entity3334
event2,escape,entity3319
event2,escape,entity3318
event2,escape,entity3304
event2,escape,entity3299
event2,escape,entity3298
event2,escape,entity3290
event2,escape,entity3286
event2,escape,entity3267
event2,escape,entity3250
event2,escape,entity3249
event2,escape,entity3239
event2,escape,entity3237
event2,escape,entity3230
event2,escape,entity3229
event2,escape,entity3214
event2,escape,entity3211
event2,escape,entity3197
event2,escape,entity3191
event2,escape,entity3185
event2,escape,entity3176
event2,escape,entity3156
event2,escape,entity3143
event2,escape,entity3140
event2,escape,entity3138
event2,escape,entity3080
event2,escape,entity3079
event2,escape,entity3078
event2,escape,entity3068
event3,escape,entity3057
event3,escape,entity3038
event3,escape,entity3024
event3,escape,entity3021
event3,escape,entity3004
event3,escape,entity2990
event3,escape,entity2986
event3,escape,entity2985
event3,escape,entity2975
event3,escape,entity2972
event3,escape,entity2950
